vibration;inclination;humidity;precipitation;output
190.8;38.25;0.66;0.0595;0
165.2;47.72;0.66;0.051;0
111.5;24.22;0.66;0.0425;0
211.8;38.25;0.66;0.034;0
156.8;38.25;0.66;0.034;0
153.7;51.27;0.66;0.034;0
152.7;56.98;0.66;0.034;0
107.6;39.2;0.66;0.034;0
94.8;43.4;0.66;0.034;0
93.4;60.35;0.66;0.034;0
293.6;61.64;0.67;0.0255;0
269.4;38.25;0.66;0.0255;0
241.4;59.72;0.66;0.0255;0
236.4;35.75;0.66;0.0255;0
186.9;58.78;0.67;0.0255;0
185.8;48.73;0.66;0.0255;0
181.6;49.3;0.66;0.0255;0
170;41.49;0.66;0.0255;0
170;48.48;0.66;0.0255;0
160.2;38.25;0.67;0.0255;0
155.2;38.25;0.65;0.0255;0
139.3;48.92;0.65;0.0255;0
137.7;38.25;0.67;0.0255;0
130.5;38.19;0.66;0.0255;0
112;40.35;0.65;0.0255;0
109.8;53.27;0.66;0.0255;0
53.3;38.25;0.67;0.0255;0
158.1;48.03;0.66;0.017;0
235.5;52.78;0.65;0.0085;0
554.6;32.54;0.52;0;0
532.7;55;0.6;0;0
530.5;42.8;0.41;0;0
486.3;25.91;0.32;0;0
477.1;28.34;0.52;0;0
472.1;45.84;0.6;0;0
456.4;55;0.61;0;0
455.7;59.72;0.6;0;0
444.1;63.55;0.6;0;0
444;26.58;0.33;0;0
433.7;34;0.51;0;0
425.6;63.05;0.61;0;0
421.7;41.72;0.61;0;0
415.7;35.22;0.05;0;0
414.2;44.2;0.62;0;0
408.7;55;0.62;0;0
393.8;34;0.42;0;0
377.8;47.9;0.6;0;0
370.3;55;0.62;0;0
363.3;34.14;0.32;0;0
342.3;55;0.62;0;0
328.7;44.22;0.61;0;0
321.5;44.69;0.4;0;0
316.3;30.15;0.41;0;0
315.8;57.75;0.6;0;0
312.5;55;0.62;0;0
307.9;44.79;0.6;0;0
302.9;43.13;0.61;0;0
296.9;36.89;0.19;0;0
286.7;27.79;0.42;0;0
